mz	time	VT_120305_122	VT_120229_074	VT_120302_068	VT_120307_026	VT_120218_092	VT_120218_020	VT_120305_074	VT_120229_020	VT_120305_086	VT_120306_032	VT_120306_110	VT_120307_098	VT_120222_116	VT_120217_020	VT_120229_122	VT_120302_020	VT_120301_020	VT_120217_110	VT_120229_128	VT_120301_056	VT_120306_020	VT_120306_086	VT_120218_104	VT_120229_068	VT_120218_014	VT_120218_044	VT_120218_110	VT_120218_122	VT_120302_098	VT_120305_080	VT_120217_068	VT_120306_014	VT_120305_026	VT_120305_032	VT_120217_014	VT_120217_104	VT_120302_044	VT_120222_080	VT_120222_098	VT_120218_098	VT_120306_026	VT_120217_026	VT_120222_008	VT_120217_044	VT_120306_008	VT_120301_050	VT_120307_056	VT_120217_086	VT_120305_008	VT_120229_044
86.05921242	167	151981	70651	114078	111113	113169	140350	105323	197715	105728	136300	359047	159549	202534	182665	229172	153399	137922	135057	14322	124532	108587	142582	305153	41785	74430	64373	258971	193074	95783	96320	186445	102923	94186	105870	49669	99693	101803	140306	55754	137312	52866	165605	184238	239907	73253	76060	244585	185253	232590	175558
86.09568103	69	561149	910663	553283	693000	1391435	624006	557247	755266	640955	931273	566065	689737	956464	454044	823500	1016886	658434	931160	380598	371745	579453	993760	706235	412047	647744	675115	416360	569573	669829	608705	802590	398625	743942	538921	860746	1322244	734574	577808	1109549	373737	322241	1061697	111712	553695	932721	541454	719845	572983	517722	596473
86.51701591	40	28515	134101	46133	61095	91213	52746	24309	115127	81537	58761	123637	32753	41571	46867	111778	24913	6324	52540	149412	65966	59544	20724	220873	 	62682	49597	36690	35006	78248	43196	31077	129870	35518	72894	182709	29343	55022	46060	34894	41778	32050	24567	 	55261	62505	106771	58567	74046	160310	36066
87.02703279	38	 	63723	36503	 	128358	68718	 	54709	 	17216	109167	54287	26737	67377	 	30848	83894	60581	 	27160	 	77608	115915	105250	74753	119369	57576	165606	90869	17808	57031	 	 	15497	90769	68021	35393	79169	48224	49722	26301	51568	147381	112601	 	 	 	91345	 	50398
87.0433297	175	33008	6207	19627	30143	177150	 	46275	78293	15528	78212	40293	20110	21900	29033	16195	13440	53014	 	88827	28180	35992	58974	74140	15381	9855	50802	33679	 	12057	48638	84270	 	130506	85998	66332	34030	13032	24858	19443	127214	69444	49553	70287	84781	74233	38557	27153	109327	54927	40326
88.07474051	544	288085	186814	35499	153427	148974	 	 	145205	244386	224546	81636	125537	278497	179767	139618	295672	124531	1031	156849	108008	301261	58637	176742	242781	166767	193255	122863	176470	158751	203902	229154	16714	179765	111411	184974	191109	146487	138119	168197	179765	316988	110371	128895	223911	250678	100318	148385	254096	254314	137470
88.11131553	80	57704	101981	39623	51599	60427	80762	44352	94322	44384	113019	47348	51274	97444	64525	72664	53881	67670	51513	 	53796	163758	43507	43846	84366	130012	129026	67212	29957	110009	39156	113911	142829	77294	82642	55750	103963	51249	75245	95254	34837	112102	103723	 	128113	110246	59254	75054	70657	111344	73458
88.50830291	360	1272653	1673165	1944961	2079716	1575889	2069085	1834207	1651594	1567997	1764782	1051115	1428490	2274526	2093138	1816695	1406692	1504209	2014860	1776610	1503703	2003363	1816795	1617007	1585071	2002233	2334426	1613486	947979	1988250	1512241	1711088	1934929	2165180	2225140	1831226	1956694	1882087	2041264	1980953	1625294	2340901	1984728	1109718	1738873	1939450	1481612	1577365	1459334	2186636	1724771
89.0006865	312	99719	39407	127080	120267	 	76408	91839	94049	139733	63247	133064	162380	159121	106163	127259	170283	117723	 	105829	117737	52363	76569	103740	128545	81918	111003	 	113688	72850	154578	98902	109522	97378	71924	82194	75090	137398	107902	199428	78822	77329	81736	56538	71872	73118	93673	66998	183919	68003	121062
89.03776719	213	102747	21413	43233	152857	21269	228416	91519	21790	52969	81686	57979	26446	51518	23791	16778	 	23916	88339	301779	71902	113783	89023	22823	57771	180076	87365	41218	16704	5660	68041	46098	 	 	 	78478	146052	10406	54637	26475	29236	92434	75386	 	 	109273	92918	46135	62750	61549	60421
