mz	KEGGID	Name	MonoisotopicMass	Adduct	AdductMass
268.01879	C00024	Acetyl-CoA;	809.1258	M+3H	1.007276
275.346104	C00024	Acetyl-CoA;	809.1258	M+2H+Na	8.33459
282.777704	C00024	Acetyl-CoA;	809.1258	M+H+2Na	15.76619
290.000732	C00024	Acetyl-CoA;	809.1258	M+3Na	22.989218
405.570176	C00024	Acetyl-CoA;	809.1258	M+2H	1.007276
414.08345	C00024	Acetyl-CoA;	809.1258	M+H+NH4	9.52055
416.561147	C00024	Acetyl-CoA;	809.1258	M+H+Na	11.998247
424.548117	C00024	Acetyl-CoA;	809.1258	M+H+K	19.985217
426.08345	C00024	Acetyl-CoA;	809.1258	M+ACN+2H	21.52055
427.552118	C00024	Acetyl-CoA;	809.1258	M+2Na	22.989218
446.596723	C00024	Acetyl-CoA;	809.1258	M+2ACN+2H	42.033823
467.109997	C00024	Acetyl-CoA;	809.1258	M+3ACN+2H	62.547097
810.133076	C00024	Acetyl-CoA;	809.1258	M+H	1.007276
827.159623	C00024	Acetyl-CoA;	809.1258	M+NH4	18.033823
832.115018	C00024	Acetyl-CoA;	809.1258	M+Na	22.989218
842.159289	C00024	Acetyl-CoA;	809.1258	M+CH3OH+H	33.033489
848.088958	C00024	Acetyl-CoA;	809.1258	M+K	38.963158
851.159623	C00024	Acetyl-CoA;	809.1258	M+ACN+H	42.033823
854.09696	C00024	Acetyl-CoA;	809.1258	M+2Na-H	44.97116
870.19114	C00024	Acetyl-CoA;	809.1258	M+IsoProp+H	61.06534
873.141565	C00024	Acetyl-CoA;	809.1258	M+ACN+Na	64.015765
886.04484	C00024	Acetyl-CoA;	809.1258	M+2K+H	76.91904
888.14702	C00024	Acetyl-CoA;	809.1258	M+DMSO+H	79.02122
892.18617	C00024	Acetyl-CoA;	809.1258	M+2ACN+H	83.06037
893.18091	C00024	Acetyl-CoA;	809.1258	M+IsoProp+Na+H	84.05511
1619.258876	C00024	Acetyl-CoA;	809.1258	2M+H	1.007276
1636.285423	C00024	Acetyl-CoA;	809.1258	2M+NH4	18.033823
1641.240818	C00024	Acetyl-CoA;	809.1258	2M+Na	22.989218
1646.27472	C00024	Acetyl-CoA;	809.1258	2M+3H2O+2H	28.02312
1657.214758	C00024	Acetyl-CoA;	809.1258	2M+K	38.963158
1660.285423	C00024	Acetyl-CoA;	809.1258	2M+ACN+H	42.033823
1682.267365	C00024	Acetyl-CoA;	809.1258	2M+ACN+Na	64.015765
14.194934	C00076	Calciumcation;	39.9626	M+3H	1.007276
20.988576	C00076	Calciumcation;	39.9626	M+2H	1.007276
21.522248	C00076	Calciumcation;	39.9626	M+2H+Na	8.33459
28.953848	C00076	Calciumcation;	39.9626	M+H+2Na	15.76619
29.50185	C00076	Calciumcation;	39.9626	M+H+NH4	9.52055
31.979547	C00076	Calciumcation;	39.9626	M+H+Na	11.998247
36.176876	C00076	Calciumcation;	39.9626	M+3Na	22.989218
39.966517	C00076	Calciumcation;	39.9626	M+H+K	19.985217
40.969876	C00076	Calciumcation;	39.9626	M+H	1.007276
41.50185	C00076	Calciumcation;	39.9626	M+ACN+2H	21.52055
42.970518	C00076	Calciumcation;	39.9626	M+2Na	22.989218
57.996423	C00076	Calciumcation;	39.9626	M+NH4	18.033823
62.015123	C00076	Calciumcation;	39.9626	M+2ACN+2H	42.033823
62.951818	C00076	Calciumcation;	39.9626	M+Na	22.989218
72.996089	C00076	Calciumcation;	39.9626	M+CH3OH+H	33.033489
78.925758	C00076	Calciumcation;	39.9626	M+K	38.963158
80.932476	C00076	Calciumcation;	39.9626	2M+H	1.007276
81.996423	C00076	Calciumcation;	39.9626	M+ACN+H	42.033823
82.528397	C00076	Calciumcation;	39.9626	M+3ACN+2H	62.547097
84.93376	C00076	Calciumcation;	39.9626	M+2Na-H	44.97116
97.959023	C00076	Calciumcation;	39.9626	2M+NH4	18.033823
101.02794	C00076	Calciumcation;	39.9626	M+IsoProp+H	61.06534
102.914418	C00076	Calciumcation;	39.9626	2M+Na	22.989218
103.978365	C00076	Calciumcation;	39.9626	M+ACN+Na	64.015765
107.94832	C00076	Calciumcation;	39.9626	2M+3H2O+2H	28.02312
116.88164	C00076	Calciumcation;	39.9626	M+2K+H	76.91904
118.888358	C00076	Calciumcation;	39.9626	2M+K	38.963158
