Sample,CT22,CT23,CT24,CT48,CT5,CTH26,CTH28,CTH46,CTH47,CTH49
Label,Control,Control,Control,Control,Control,H1N1,H1N1,H1N1,H1N1,H1N1
85.02818673_232.906,851275.766,121323.742,258313.78,124872.34,1257486.648,3371312.665,331266.1574,414331.5514,36331.379,499836.6415
85.04751022_258.039,1454.8511,46739.8578,178767.683,998986.79,44181.9976,3879117.413,363992.484,1356743.238,192638.1,733128.441
85.07762634_316.7395,776936.8,115313.86,1537327.38,1349221.53,1343262.24,223429.9,841889.72,187348.512,21249943.85,48451.851
86.05978839_252.945,15783.539,211377.249,24647.347,148453.785,1631644.81,3297419.945,143.159,1949169.498,2474.69,139785.947
86.05977978_85.6569,521897.6345,517429.66,63485.4283,147499.77,743193.6226,7172.235,414284.4623,1463461.27,1465238.39,1571.222
86.059773_115.7665,4432176.92,67657.6463,5652893.693,4999864.173,295748.66,7427639.185,219227.79,339541.338,376448.927,6515856.12
86.08091972_317.163,642151.856,1572897.18,413228.841,11938.357,1239669.61,283366.618,663499.8327,1368128.4,3671258.521,1653216.31
86.09617651_208.387,42128844.69,8747516.38,12912911.9,14878875.5,78241476.78,14944548.6,79478829.2,142167.2,1673258.1,14993676.9
86.09617598_125.6375,1634595.29,13159257.18,98681737.29,1779278.21,2446837.99,3485984.23,11786963.67,3237627.71,44366299.39,1812969.35
86.09617636_44.9649,461436.7971,48158.1684,138628.794,15911.927,1545277.843,1299779.72,457715.4733,1442387.675,152888.293,1455668.13
86.09617868_347.227,3356941.268,3726131.959,299553.466,25572.18,4572664.574,55722.524,3361329.285,2975188.786,4966937.212,4398644.631
86.90841063_248.997,172567.631,3676281.722,6659468.823,586236.16,2589895.55,1198368.25,1716889.438,4572193.545,283614.622,482572.147
87.05506053_253.006,338244.34,83124.611,1664239.288,1279.423,12496.974,744979.887,18549.844,246754.499,33649.58,359197.45
87.0995555_208.609,2229987.978,4769776.61,532198.152,458354.347,4131162.729,5585665.85,3518583.359,6175892.245,8128439.686,8292288.979
88.03906474_240.1765,11789.947,19583.927,613686.28,269134.294,2376783.794,17475699.12,2298976.843,55567.968,5394756.29,3981916.993
88.03907042_217.3505,3815313.5,627832.191,123297.69,724861.987,856631.964,9631199.426,358759.361,11929122.39,2173284.63,697287.155
88.05125042_258.067,43724.89,483187.519,794795.139,28284.848,4295429.29,98473.872,2663444.562,5419957.21,9892126.327,3915748.342
88.05756581_220.542,1197895.8,1268559.1,246126.534,78125.378,1427547.18,1641937.291,1541397.575,181364.219,346921.729,84223.9719
88.06287491_311.2045,3549459.36,3412184.935,189838.78,1276.969,776483.453,2638671.539,341373.165,225782.85,3516.5,146392.493
88.07545986_43.4566,541396.73,3922925.238,698965.827,6547892.182,15347539.45,874466.836,3317795.136,12171824.76,19896691.49,12569488.12
88.07545751_119.865,83828.663,97769.633,7435198.87,862337.1,9978125.213,1117678.63,869359.262,7458729.543,579347.37,727978.777
88.11183518_122.451,633857.36,673359.899,2832715.585,6515819.797,5372429.44,454965.66,676167.138,548638.255,55614.645,84487.242
88.11182478_45.4586,4417579.42,4119577.959,8339.763,9224888.11,1143558.49,731853.325,366825.68,13321168.49,96759.1111,13675424.57
88.11185306_191.93,213988.452,479955.846,791569.111,3162475.33,3674675.769,1172641.93,38925.761,6611518.391,2941161.697,2492728.953
88.50883551_116.918,2882856.98,21759635.4,14473646.14,299234.48,26296118.7,1343386,22769416.79,19662882.97,18853454.2,24252833.52
88.508834_26.6371,5127926.183,5824968.186,647738.437,17861468.29,21256735.21,4826964.871,625499.865,952723.88,157745.4,15879297.52
88.50884255_45.9793,461977.121,9475148.964,14934573,2261631.58,2674947.34,22152.58,7513526.832,34281178.85,3737289.48,2396598.72
88.50883979_2.190435,2785392.75,38996.23,1691886.545,1555193.14,1337291.56,2947124.43,2212143.52,11683128.7,15272648.26,4878569.771
88.50884541_364.937,21866787.29,18942868.59,1421495.99,23395424.25,1542946.67,15342523.89,14164655.43,1281547.68,164846.33,13686863.21
88.50885721_253.5735,554842.515,479264.47,57511.239,8683373.33,775246.56,192487.599,28324.461,899985.734,359931.751,596125.35
89.00803666_45.361,5153726.364,2215167.17,11753626.31,12853473.66,1883167.16,1376456.69,471934.967,1425812.21,26663527.11,12311251.23
89.00802993_116.3065,1217464.71,991571.475,7194514.856,13528724.82,1567677.17,611628.742,145572.37,8962788.514,137683.65,11849795.21
89.00804137_26.8048,1151257.715,2516243.9,194883.1,5876664.368,7553932.913,158554.832,142299.765,646674.49,6741583.975,691851.843
89.00804749_306.855,13182724.76,9787945.462,752115.676,12379899.11,13822264,78294.315,1235187.1,11318638.79,1479249.5,13476249.15
89.03890993_258.073,255466.6996,664388.8474,643918.895,137621.457,162963.21,8666.9762,1441181.446,15447.354,94547.22,1123635.573
89.04157032_110.674,51178.139,459646.366,788896.919,394691.173,8358993.437,11899329.75,2928.423,9225987.622,13973883.94,6454295.712
89.05458614_66.73525,53974.1644,49158.8689,21255.236,52812.488,967724.794,1816256.367,253965.898,9137.9823,2495967.35,724316.375
89.05457987_258.061,12942123,139742897.3,234357753.4,1346388.2,12723176.8,26589357.9,8941466.28,162242921.6,288597113.1,123357685.8
89.4907196_45.1062,415422.8999,35572.496,914765.737,77715.798,1227493.78,83851.874,289842.256,15628.47,142298.992,135255.293
89.49073084_26.30385,42173.4534,36966.3776,433276.8545,925163.1874,1412749.387,4932859.3,53415773.51,922682.339,223228518.4,76133199.3
89.49073596_114.6815,556428.9475,751366.618,17746775.8,787241.421,91798451.83,65611116.87,491738.8399,8182321.39,85962638.13,587933.5347
89.50410792_218.785,75389582.53,12867383.71,4241747.626,822786.3266,6947275.348,545728.9797,562371.987,511867.1238,573473.9995,119469.424
89.50652257_116.798,41645248.3,337169831.8,27473869.9,481677838.1,44734956,22652686,379575796.5,41364318.8,438399836,433754716.9
89.5065231_45.5612,11999471.2,16157846,343333521.2,45953362.6,463178965.4,292199133.4,1154676.8,7952456.6,572576354.1,48413677.2
89.50651503_26.6473,87821158.6,81625677.4,18418775.5,263569.6,33284897.3,6129176.95,7573351.93,21393876.8,273674119.2,269138513.4
89.52230321_45.2667,312925.3169,411998.5871,927621.4375,654586.6735,94316.1245,98922266.47,2588.1411,454512.69,1114783.221,131276.29
89.52230998_26.1097,359298.3715,371189.861,369316.7437,138856.94,15835.364,64771793.51,49954525.77,6594.7677,13867924.8,899481.1161
89.52229676_115.246,722277.539,97952.27391,65768745.73,8941718.1,7417.5992,3482.1419,666488.7955,84298327.86,72736.589,754879.494
90.0050487_45.657,8951.6445,14848.317,2487374.344,187515.398,2292491.173,3612937.324,947461.5531,3669183.593,3369267.544,338998.163
90.00504718_26.27985,684797.318,8961.142,156554.82,266917.77,2519989.95,36551.273,315757.261,5272865.851,817938.999,5428154.26
90.00677997_116.3815,1535476.61,486975.314,588738.785,191575.34,1786533.99,9681998.429,532862.47,4857536.444,19658126.64,387216.799
90.00685595_2.20496,2588636.365,4154397.455,18296.44,2846677.233,1192314.66,394793.894,2786.279,727634.96,6697268.932,3692.478
90.00818767_260.7675,4124919.551,4761424.456,434773.97,8143829.16,64629.269,334356.469,416813.111,6694811.758,478772.227,814588.557
90.00819357_362.6655,12843.93,19792614.59,44498.861,2555984.7,13795357.9,885451.533,823276.113,15121828.21,15735491.85,176933.5
90.00811077_26.7805,189584.69,296813.928,2329864.248,772523.8,7669553.163,1739343.68,4596854.812,6526112.846,18126646.4,17873689.86
